Comentário,Classificação
"Experiência horrível, isto não é hospital, mas um passivo sugante, fui para este hospital no dia 28 pela primeira vez e, o atendimento foi péssimo começando pela recepção a jovem que me atendeu, disse-me que a consulta eram 13 euros e na fatura apareceu 33 euros, não te dão a factura na hora te dizem para ir ao aplicativo, fiz os exames e para saber os resultados tenho que pagar novamente uma consulta, simplesmente para saber resultados de algo que já fiz devo pagar, e a jovem do apoio ao cliente ainda me diz aqui tudo paga-se O médico extremamente arrogante, atendeu-me como se estivesse a despachar-me. - mau atendimento",Cobrança indevida
"Já foi um bom hospital, mas tem vindo a piorar dia após dia. Antigamente era muito bem recebida pelos médicos, mas ultimamente só tenho sido recebida de forma muito arrogante e com uma extrema falta de empatia pelos mesmos.
Menosprezam os clientes/pacientes e os seus problemas.",Atendimento Hospitalar
"Péssimo atendimento na triagem de urgência para adultos pela enfermeira Claudia Cruz . Arrogante e fria, a mostrar 0 interesse pelas queixas do doente. Fez uma única pergunta “como é que aconteceu ?“ e deu logo a pulseira verde, sem sequer haver perguntas sobre antecedentes .. alguma medicação que esteja a tomar , febre nos últimos dias .. nada . - arrogância no atendimento",Triagem
"5h até o meu filho de 6anos ser chamado para consulta no atendimento pediátrico urgente. Segundo informações dos médicos no atendimento a demora devia-se a falha no sistema informático, mas aquando da admissão na receção a administrativa não deu qualquer aviso sobre a demora e quando confrontada, mais tarde, sobre tal ausência de informação prestada retorquiu com ""deve ser o cliente a questionar sobre os tempos de espera"". Arrogância e desprezo no trato dos utentes é o que define o Hospital da Luz Lisboa",Tempo de espera 
"Não gostei do lugar, foi a primeira e última vez: pessoas arrogantes na receção; 1,5 horas de espera com consulta marcada; médicos sobrecarregados, impacientes. Podem ser bons médicos, mas o comportamento que vi não considero ser profissional. Tem outros hospitais mais agradáveis - médicos arrogantes",Atendimento Hospitalar
"Fui a uma consulta com o Dr. Pereira Coutinho, arrogante, não liga ao doente e responde mal. Disse que eu não estava doente e que tinha uma doença psicossomática. Resultado, depois de consultar uma alergologista, tenho inúmeras alergias que me dão dores abdominais. - mau atendimento",Atendimento Hospitalar
"O atendimento não é humanizado, as funcionárias são arrogantes e desinteressadas em ajudar. A triagem é desorganizada, não enviam fatura por e-mail e em nenhum momento pediram minha identificação. Se tratando de um hospital particular, deixa a desejar.",Atendimento Hospitalar
"Atendimento médico na urgência pediátrica, lamentável, de extrema arrogância, agressividade e falta de respeito para com uma criança. Lamentável e inaceitável",Comportamento dos médicos
"Funcionárias da recepção arrogantes e sem paciência, casas de banho inundas, muita falta de manutenção e higiene nas instalações. Nota-se bem o passar dos anos. Já não é o que era. - condições hgiénicas",Condições Higiénicas
"UMA VERGONHA!!! Tempo de atendimento três vezes superior a um hospital público, pessoal arrogante e incompetente",Tempo de espera 
